n_layers,tree_size,kv_len,draft_time_ms,draft_time_std_ms,attn_implementation,hidden_size
3,16,2048,4.090551568951923,0.015030487178395432,flex_attention,2560
3,24,2048,4.085702549200505,0.01057809168932568,flex_attention,2560
3,32,2048,4.107884311815724,0.013135273292419591,flex_attention,2560
3,64,2048,4.213126120448578,0.016071617159029238,flex_attention,2560
3,128,2048,3.0553995998343453,0.009012863244301424,flex_attention,2560
3,256,2048,3.111714881088119,0.020328577813954765,flex_attention,2560
3,512,2048,3.5486030197353102,0.006248344572240165,flex_attention,2560
3,16,2048,4.250287927861791,0.010515848999529304,flex_attention,4096
3,24,2048,4.293321109435055,0.012555678175590449,flex_attention,4096
3,32,2048,4.327752887620591,0.01254988370741285,flex_attention,4096
3,64,2048,4.4456635395181365,0.013224046327399493,flex_attention,4096
3,128,2048,3.1257370897219516,0.021174242451937168,flex_attention,4096
3,256,2048,3.2478422310668975,0.012026389766251951,flex_attention,4096
3,512,2048,4.425118339713663,0.019230891762512855,flex_attention,4096
3,16,2048,4.387697650236078,0.017482345452553314,flex_attention,5120
3,24,2048,4.466572220553644,0.02815619057546823,flex_attention,5120
3,32,2048,4.49091210932238,0.013251348830906683,flex_attention,5120
3,64,2048,4.559069550305139,0.01433284023904339,flex_attention,5120
3,128,2048,3.178237167012412,0.02003517857812809,flex_attention,5120
3,256,2048,3.44489079026971,0.00816295137244472,flex_attention,5120
3,512,2048,5.0288306988659315,0.016762882241712455,flex_attention,5120
5,16,2048,6.423419431084767,0.0690326357925933,flex_attention,2560
5,24,2048,6.399093768850435,0.01864107169447351,flex_attention,2560
5,32,2048,6.454645890626125,0.020098168768081955,flex_attention,2560
5,64,2048,6.626411100442056,0.015094085293220767,flex_attention,2560
5,128,2048,4.8877266616909765,0.02315421192019343,flex_attention,2560
5,256,2048,4.930341281869914,0.01871484513084864,flex_attention,2560
5,512,2048,5.5803819198627025,0.007083075473895265,flex_attention,2560
5,16,2048,6.672102219599765,0.01907217263574307,flex_attention,4096
5,24,2048,6.76092627865728,0.018751222408212406,flex_attention,4096
5,32,2048,6.816408408631105,0.01718308946464665,flex_attention,4096
5,64,2048,7.02719507884467,0.06160554438005965,flex_attention,4096
5,128,2048,4.955097481724806,0.03468250896353785,flex_attention,4096
5,256,2048,5.058175109443255,0.07208618929518755,flex_attention,4096
5,512,2048,7.129020538122859,0.016589469886778736,flex_attention,4096
5,16,2048,6.906474259740207,0.030550492186715475,flex_attention,5120
5,24,2048,7.040353878692258,0.018027701595686126,flex_attention,5120
5,32,2048,7.0879577891901135,0.02102299914796778,flex_attention,5120
5,64,2048,7.22076972888317,0.018004611796106275,flex_attention,5120
5,128,2048,5.005320399941411,0.08454836080018302,flex_attention,5120
5,256,2048,5.392521739704534,0.023873811835413664,flex_attention,5120
5,512,2048,8.148724118364044,0.03181440891299524,flex_attention,5120
7,16,2048,8.720320219290443,0.024826298587236693,flex_attention,2560
7,24,2048,8.70822426310042,0.02064001215245332,flex_attention,2560
7,32,2048,8.7654895382002,0.021503999034419193,flex_attention,2560
7,64,2048,9.036501921946183,0.02111624508317578,flex_attention,2560
7,128,2048,6.5998919907724485,0.01995640163465153,flex_attention,2560
7,256,2048,6.748222560854629,0.024434164287283722,flex_attention,2560
7,512,2048,7.625858820974827,0.01202724438626426,flex_attention,2560
7,16,2048,9.10067119897576,0.0218987942163674,flex_attention,4096
7,24,2048,9.241169379092753,0.03985910984711862,flex_attention,4096
7,32,2048,9.30691860994557,0.02290576622640322,flex_attention,4096
7,64,2048,9.595816461369395,0.030620491943287025,flex_attention,4096
7,128,2048,6.796940969361458,0.15543726123328194,flex_attention,4096
7,256,2048,6.912285341240931,0.06145106980295572,flex_attention,4096
7,512,2048,9.7729722384247,0.025847128009165433,flex_attention,4096
7,16,2048,9.435778790502809,0.02242098923195487,flex_attention,5120
7,24,2048,9.60525139933452,0.023215987956682484,flex_attention,5120
7,32,2048,9.694122899090871,0.01937451283584505,flex_attention,5120
7,64,2048,9.880254458403215,0.019537602884936417,flex_attention,5120
7,128,2048,6.8284283092361875,0.02077602640794464,flex_attention,5120
7,256,2048,7.3392244800925255,0.01977799711630334,flex_attention,5120
7,512,2048,11.268051310617011,0.07473729779261294,flex_attention,5120
